DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Mar-2026,EQ,1818.0,1824.5,1774.5,1843.9,1789.2,1782.4,1790.45,2174.5,1669.4,14240129,25496261863.8,219313
27-Mar-2026,EQ,1839.9,1856.9,1818.4,1834.9,1850.0,1843.9,1839.42,2174.5,1660.0,24490425,45048244978.5,384542
25-Mar-2026,EQ,1814.0,1849.2,1810.1,1802.1,1834.0,1834.9,1829.51,2174.5,1660.0,12473682,22820750844.0,265588
24-Mar-2026,EQ,1816.3,1826.8,1781.0,1795.9,1812.5,1802.1,1801.04,2174.5,1660.0,7535860,13572401488.5,178329
23-Mar-2026,EQ,1827.0,1830.0,1792.0,1846.1,1803.1,1795.9,1801.84,2174.5,1660.0,6874051,12385952606.4,246881
20-Mar-2026,EQ,1834.0,1860.9,1834.0,1827.0,1844.8,1846.1,1848.15,2174.5,1612.2,7691633,14215320146.3,139053
19-Mar-2026,EQ,1826.6,1861.3,1816.3,1855.4,1835.6,1827.0,1837.38,2174.5,1612.2,7145082,13128248532.0,215916
18-Mar-2026,EQ,1826.8,1869.0,1826.8,1827.0,1855.0,1855.4,1856.46,2174.5,1612.2,6428092,11933500968.2,176964
17-Mar-2026,EQ,1797.0,1834.5,1791.1,1788.8,1823.4,1827.0,1822.01,2174.5,1612.2,7181491,13084761934.3,262782
16-Mar-2026,EQ,1798.0,1804.9,1770.9,1803.4,1790.0,1788.8,1787.39,2174.5,1612.2,14261268,25490420100.7,345086
13-Mar-2026,EQ,1781.1,1816.0,1776.6,1801.3,1803.0,1803.4,1804.59,2174.5,1612.2,8970772,16188549355.8,263272
12-Mar-2026,EQ,1797.9,1817.8,1791.0,1807.0,1798.3,1801.3,1801.93,2174.5,1612.2,12922735,23285924604.3,213083
11-Mar-2026,EQ,1841.0,1847.7,1799.5,1850.4,1807.0,1807.0,1818.78,2174.5,1612.2,9548404,17366405770.8,279483
10-Mar-2026,EQ,1880.8,1881.0,1846.5,1866.7,1855.7,1850.4,1853.07,2174.5,1612.2,11741600,21758005040.0,337083
09-Mar-2026,EQ,1831.0,1872.4,1818.1,1870.8,1866.0,1866.7,1853.1,2174.5,1612.2,8073518,14961027031.0,370596
06-Mar-2026,EQ,1900.0,1902.1,1867.1,1907.0,1873.0,1870.8,1882.33,2174.5,1568.0,10896859,20511535465.7,222475
05-Mar-2026,EQ,1919.0,1929.1,1897.2,1905.9,1906.0,1907.0,1910.48,2174.5,1568.0,11398717,21777070378.9,247714
04-Mar-2026,EQ,1861.1,1920.0,1815.3,1873.2,1908.5,1905.9,1878.13,2174.5,1568.0,20565585,38624852239.0,425053
02-Mar-2026,EQ,1850.1,1895.9,1847.9,1879.3,1872.0,1873.2,1875.71,2174.5,1568.0,11785758,22106668597.4,355395
27-Feb-2026,EQ,1910.0,1915.0,1870.1,1929.6,1882.0,1879.3,1882.95,2174.5,1559.5,13754648,25899362760.7,241307
26-Feb-2026,EQ,1914.0,1935.0,1904.5,1913.4,1934.0,1929.6,1920.91,2174.5,1559.5,10795028,20736322162.8,240161
25-Feb-2026,EQ,1955.0,1961.8,1904.0,1941.0,1916.8,1913.4,1925.26,2174.5,1559.5,8285195,15951164616.7,204352
24-Feb-2026,EQ,1997.3,1997.3,1921.8,1997.3,1944.0,1941.0,1942.94,2174.5,1559.5,10006761,19442511897.4,316721
23-Feb-2026,EQ,1994.0,2000.5,1983.9,1977.4,1997.0,1997.3,1994.13,2174.5,1559.5,3728878,7435858950.0,108472
20-Feb-2026,EQ,1981.1,1993.7,1971.0,1988.6,1977.8,1977.4,1983.51,2174.5,1559.5,5180301,10275171540.9,92932
19-Feb-2026,EQ,2032.0,2032.0,1974.8,2021.8,1981.7,1988.6,1998.06,2174.5,1559.5,4712417,9415673835.3,148982
18-Feb-2026,EQ,2020.1,2028.6,2015.0,2020.3,2021.6,2021.8,2022.25,2174.5,1559.5,2182669,4413907896.3,86566
17-Feb-2026,EQ,2028.0,2038.5,2014.2,2029.4,2021.6,2020.3,2025.43,2174.5,1559.5,4471158,9056005422.0,140780
16-Feb-2026,EQ,2010.0,2032.2,1995.0,2004.7,2030.0,2029.4,2018.51,2174.5,1559.5,3455964,6975886026.7,162819
13-Feb-2026,EQ,2013.9,2024.2,1992.0,2014.5,1993.0,2004.7,2009.88,2174.5,1559.5,4808543,9664613458.1,128252
12-Feb-2026,EQ,2019.2,2027.0,2009.1,2012.1,2016.2,2014.5,2018.03,2174.5,1559.5,7437690,15009512113.0,171559
11-Feb-2026,EQ,2012.9,2021.0,1996.7,2011.3,2010.8,2012.1,2009.28,2174.5,1559.5,7423601,14916061102.7,179221
10-Feb-2026,EQ,2052.0,2057.0,2008.4,2038.2,2011.5,2011.3,2028.51,2174.5,1559.5,9077763,18414367468.2,161362
09-Feb-2026,EQ,2051.2,2055.2,2028.7,2038.4,2038.2,2038.2,2043.03,2174.5,1559.5,7570161,15466083176.8,258448
06-Feb-2026,EQ,1994.0,2049.7,1988.5,1992.4,2023.0,2038.4,2021.27,2174.5,1559.5,13870403,28035888422.2,260653
05-Feb-2026,EQ,2012.0,2022.9,1985.0,2025.8,1992.2,1992.4,2002.08,2174.5,1559.5,7708690,15433394106.9,239320
04-Feb-2026,EQ,2008.0,2034.6,1998.4,1997.3,2022.8,2025.8,2022.89,2174.5,1559.5,7464725,15100287543.8,268266
03-Feb-2026,EQ,2050.0,2050.0,1980.1,1965.4,1995.0,1997.3,1998.54,2174.5,1559.5,6915795,13821523452.4,197865
02-Feb-2026,EQ,1936.1,1969.8,1926.5,1949.0,1966.4,1965.4,1953.85,2174.5,1559.5,5326225,10406649696.1,173244
01-Feb-2026,EQ,1968.7,1976.4,1901.0,1968.7,1934.0,1949.0,1950.77,2174.5,1559.5,2926225,5708399688.4,83964
30-Jan-2026,EQ,1925.6,1974.0,1925.6,1967.9,1968.8,1968.7,1962.6,2174.5,1559.5,7683747,15080142264.7,198918
29-Jan-2026,EQ,1964.0,1970.5,1939.0,1957.7,1969.0,1967.9,1960.68,2174.5,1559.5,6065044,11891602207.3,189722
28-Jan-2026,EQ,1995.0,1995.0,1939.0,1973.4,1956.0,1957.7,1957.43,2174.5,1559.5,9426909,18452553631.7,202617
27-Jan-2026,EQ,1972.1,2003.8,1962.7,1984.7,1981.0,1973.4,1976.71,2174.5,1559.5,10510891,20776998380.3,255465
