Particulars,Year,Amount
Net Profit Before Tax,2025,17864.4
Net Cash From Operating Activities,2025,62336.3
Net Cash (used in)/from,2025,-41452.9
Net Cash (used in)/from Financing Activities,2025,-20755.0
Net (decrease)/increase In Cash and Cash Equivalents,2025,128.4
Opening Cash & Cash Equivalents,2025,534.4
Closing Cash & Cash Equivalents,2025,662.8
Net Profit Before Tax,2024,7116.1
Net Cash From Operating Activities,2024,53208.8
Net Cash (used in)/from,2024,-34876.8
Net Cash (used in)/from Financing Activities,2024,-19183.7
Net (decrease)/increase In Cash and Cash Equivalents,2024,-851.7
Opening Cash & Cash Equivalents,2024,1386.1
Closing Cash & Cash Equivalents,2024,534.4
Net Profit Before Tax,2023,1269.3
Net Cash From Operating Activities,2023,43582.6
Net Cash (used in)/from,2023,-30006.3
Net Cash (used in)/from Financing Activities,2023,-12500.4
Net (decrease)/increase In Cash and Cash Equivalents,2023,1075.9
Opening Cash & Cash Equivalents,2023,310.2
Closing Cash & Cash Equivalents,2023,1386.1
Net Profit Before Tax,2022,-4234.2
Net Cash From Operating Activities,2022,36925.3
Net Cash (used in)/from,2022,-32254.1
Net Cash (used in)/from Financing Activities,2022,-5362.8
Net (decrease)/increase In Cash and Cash Equivalents,2022,-691.6
Opening Cash & Cash Equivalents,2022,991.1
Closing Cash & Cash Equivalents,2022,299.5
Net Profit Before Tax,2021,-18465.2
Net Cash From Operating Activities,2021,34392.3
Net Cash (used in)/from,2021,-13223.3
Net Cash (used in)/from Financing Activities,2021,-23217.6
Net (decrease)/increase In Cash and Cash Equivalents,2021,-2048.6
Opening Cash & Cash Equivalents,2021,3039.7
Closing Cash & Cash Equivalents,2021,991.1
