Particulars,Year,Amount
Sales Turnover,2025,108943.9
Net Sales,2025,108943.9
Other Income,2025,4842.9
Total Income,2025,113786.8
Power & Fuel Cost,2025,0.0
Employee Cost,2025,2393.7
Other Manufacturing Expenses,2025,36697.7
Selling and Admin Expenses,2025,605.2
Miscellaneous Expenses,2025,8488.4
Total Expenses,2025,48185.0
Operating Profit,2025,60758.9
PBDIT,2025,65601.8
Interest,2025,15239.6
PBDT,2025,50362.2
Depreciation,2025,32511.1
Profit Before Tax,2025,17851.1
PBT (Post Extra-ord Items),2025,17851.1
Tax,2025,-5637.4
Reported Net Profit,2025,23501.8
Total Value Addition,2025,48185.0
Equity Dividend,2025,4632.8
Shares in issue (lakhs),2025,57021.05
Earning Per Share (Rs),2025,41.22
Equity Dividend (%),2025,320.0
Book Value (Rs),2025,245.13
Sales Turnover,2024,94119.8
Net Sales,2024,94119.8
Other Income,2024,98.7
Total Income,2024,94218.5
Power & Fuel Cost,2024,0.0
Employee Cost,2024,2176.0
Other Manufacturing Expenses,2024,33011.1
Selling and Admin Expenses,2024,586.3
Miscellaneous Expenses,2024,7830.2
Total Expenses,2024,43603.6
Operating Profit,2024,50516.2
PBDIT,2024,50614.9
Interest,2024,14405.4
PBDT,2024,36209.5
Depreciation,2024,29108.5
Profit Before Tax,2024,7101.0
PBT (Post Extra-ord Items),2024,7101.0
Tax,2024,2127.9
Reported Net Profit,2024,4988.2
Total Value Addition,2024,43603.6
Equity Dividend,2024,2276.3
Shares in issue (lakhs),2024,60473.75
Earning Per Share (Rs),2024,8.25
Equity Dividend (%),2024,160.0
Book Value (Rs),2024,166.79
Sales Turnover,2023,84720.1
Net Sales,2023,84720.1
Other Income,2023,-1651.8
Total Income,2023,83068.3
Power & Fuel Cost,2023,0.0
Employee Cost,2023,1966.4
Other Manufacturing Expenses,2023,31310.0
Selling and Admin Expenses,2023,683.5
Miscellaneous Expenses,2023,6961.5
Total Expenses,2023,40921.4
Operating Profit,2023,43798.7
PBDIT,2023,42146.9
Interest,2023,14531.8
PBDT,2023,27615.1
Depreciation,2023,26355.0
Profit Before Tax,2023,1260.1
PBT (Post Extra-ord Items),2023,1260.1
Tax,2023,1358.9
Reported Net Profit,2023,-89.6
Total Value Addition,2023,40921.4
Equity Dividend,2023,1763.0
Shares in issue (lakhs),2023,55751.35
Earning Per Share (Rs),2023,-0.16
Equity Dividend (%),2023,80.0
Book Value (Rs),2023,140.76
Sales Turnover,2022,70641.9
Net Sales,2022,70641.9
Other Income,2022,-589.3
Total Income,2022,70052.6
Power & Fuel Cost,2022,0.0
Employee Cost,2022,1594.0
Other Manufacturing Expenses,2022,28662.5
Selling and Admin Expenses,2022,513.3
Miscellaneous Expenses,2022,4781.3
Total Expenses,2022,35551.1
Operating Profit,2022,35090.8
PBDIT,2022,34501.5
Interest,2022,14145.8
PBDT,2022,20355.7
Depreciation,2022,24592.4
Profit Before Tax,2022,-4236.7
PBT (Post Extra-ord Items),2022,-4236.7
Tax,2022,-609.2
Reported Net Profit,2022,-3625.0
Total Value Addition,2022,35551.1
Equity Dividend,2022,0.0
Shares in issue (lakhs),2022,58843.15
Earning Per Share (Rs),2022,-6.16
Equity Dividend (%),2022,60.0
Book Value (Rs),2022,134.14
Sales Turnover,2021,64325.9
Net Sales,2021,64325.9
Other Income,2021,-12634.9
Total Income,2021,51691.0
Power & Fuel Cost,2021,6946.6
Employee Cost,2021,1664.5
Other Manufacturing Expenses,2021,14963.8
Selling and Admin Expenses,2021,485.6
Miscellaneous Expenses,2021,12281.3
Total Expenses,2021,36341.8
Operating Profit,2021,27984.1
PBDIT,2021,15349.2
Interest,2021,11816.7
PBDT,2021,3532.5
Depreciation,2021,21997.5
Profit Before Tax,2021,-18465.0
PBT (Post Extra-ord Items),2021,-18465.0
Tax,2021,6732.4
Reported Net Profit,2021,-25197.6
Total Value Addition,2021,36341.8
Equity Dividend,2021,1091.1
Shares in issue (lakhs),2021,54920.27
Earning Per Share (Rs),2021,-45.88
Equity Dividend (%),2021,0.0
Book Value (Rs),2021,140.86
