DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Mar-26,EQ,"1,818.00","1,824.50","1,774.50","1,843.90","1,789.20","1,782.40","1,790.45","2,174.50","1,669.40",14240129,"25,49,62,61,863.80",219313
27-Mar-26,EQ,"1,839.90","1,856.90","1,818.40","1,834.90","1,850.00","1,843.90","1,839.42","2,174.50","1,660.00",24490425,"45,04,82,44,978.50",384542
25-Mar-26,EQ,"1,814.00","1,849.20","1,810.10","1,802.10","1,834.00","1,834.90","1,829.51","2,174.50","1,660.00",12473682,"22,82,07,50,844.00",265588
24-Mar-26,EQ,"1,816.30","1,826.80","1,781.00","1,795.90","1,812.50","1,802.10","1,801.04","2,174.50","1,660.00",7535860,"13,57,24,01,488.50",178329
23-Mar-26,EQ,"1,827.00","1,830.00","1,792.00","1,846.10","1,803.10","1,795.90","1,801.84","2,174.50","1,660.00",6874051,"12,38,59,52,606.40",246881
20-Mar-26,EQ,"1,834.00","1,860.90","1,834.00","1,827.00","1,844.80","1,846.10","1,848.15","2,174.50","1,612.20",7691633,"14,21,53,20,146.30",139053
19-Mar-26,EQ,"1,826.60","1,861.30","1,816.30","1,855.40","1,835.60","1,827.00","1,837.38","2,174.50","1,612.20",7145082,"13,12,82,48,532.00",215916
18-Mar-26,EQ,"1,826.80","1,869.00","1,826.80","1,827.00","1,855.00","1,855.40","1,856.46","2,174.50","1,612.20",6428092,"11,93,35,00,968.20",176964
17-Mar-26,EQ,"1,797.00","1,834.50","1,791.10","1,788.80","1,823.40","1,827.00","1,822.01","2,174.50","1,612.20",7181491,"13,08,47,61,934.30",262782
16-Mar-26,EQ,"1,798.00","1,804.90","1,770.90","1,803.40","1,790.00","1,788.80","1,787.39","2,174.50","1,612.20",14261268,"25,49,04,20,100.70",345086
13-Mar-26,EQ,"1,781.10","1,816.00","1,776.60","1,801.30","1,803.00","1,803.40","1,804.59","2,174.50","1,612.20",8970772,"16,18,85,49,355.80",263272
12-Mar-26,EQ,"1,797.90","1,817.80","1,791.00","1,807.00","1,798.30","1,801.30","1,801.93","2,174.50","1,612.20",12922735,"23,28,59,24,604.30",213083
11-Mar-26,EQ,"1,841.00","1,847.70","1,799.50","1,850.40","1,807.00","1,807.00","1,818.78","2,174.50","1,612.20",9548404,"17,36,64,05,770.80",279483
10-Mar-26,EQ,"1,880.80","1,881.00","1,846.50","1,866.70","1,855.70","1,850.40","1,853.07","2,174.50","1,612.20",11741600,"21,75,80,05,040.00",337083
09-Mar-26,EQ,"1,831.00","1,872.40","1,818.10","1,870.80","1,866.00","1,866.70","1,853.10","2,174.50","1,612.20",8073518,"14,96,10,27,031.00",370596
06-Mar-26,EQ,"1,900.00","1,902.10","1,867.10","1,907.00","1,873.00","1,870.80","1,882.33","2,174.50","1,568.00",10896859,"20,51,15,35,465.70",222475
05-Mar-26,EQ,"1,919.00","1,929.10","1,897.20","1,905.90","1,906.00","1,907.00","1,910.48","2,174.50","1,568.00",11398717,"21,77,70,70,378.90",247714
04-Mar-26,EQ,"1,861.10","1,920.00","1,815.30","1,873.20","1,908.50","1,905.90","1,878.13","2,174.50","1,568.00",20565585,"38,62,48,52,239.00",425053
02-Mar-26,EQ,"1,850.10","1,895.90","1,847.90","1,879.30","1,872.00","1,873.20","1,875.71","2,174.50","1,568.00",11785758,"22,10,66,68,597.40",355395
27-Feb-26,EQ,"1,910.00","1,915.00","1,870.10","1,929.60","1,882.00","1,879.30","1,882.95","2,174.50","1,559.50",13754648,"25,89,93,62,760.70",241307
26-Feb-26,EQ,"1,914.00","1,935.00","1,904.50","1,913.40","1,934.00","1,929.60","1,920.91","2,174.50","1,559.50",10795028,"20,73,63,22,162.80",240161
25-Feb-26,EQ,"1,955.00","1,961.80","1,904.00","1,941.00","1,916.80","1,913.40","1,925.26","2,174.50","1,559.50",8285195,"15,95,11,64,616.70",204352
24-Feb-26,EQ,"1,997.30","1,997.30","1,921.80","1,997.30","1,944.00","1,941.00","1,942.94","2,174.50","1,559.50",10006761,"19,44,25,11,897.40",316721
23-Feb-26,EQ,"1,994.00","2,000.50","1,983.90","1,977.40","1,997.00","1,997.30","1,994.13","2,174.50","1,559.50",3728878,"7,43,58,58,950.00",108472
20-Feb-26,EQ,"1,981.10","1,993.70","1,971.00","1,988.60","1,977.80","1,977.40","1,983.51","2,174.50","1,559.50",5180301,"10,27,51,71,540.90",92932
19-Feb-26,EQ,"2,032.00","2,032.00","1,974.80","2,021.80","1,981.70","1,988.60","1,998.06","2,174.50","1,559.50",4712417,"9,41,56,73,835.30",148982
18-Feb-26,EQ,"2,020.10","2,028.60","2,015.00","2,020.30","2,021.60","2,021.80","2,022.25","2,174.50","1,559.50",2182669,"4,41,39,07,896.30",86566
